"LAND AND ENVIRONMENT","...2","...3","...4","...5","...6","...7","...8","...9","...10"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Measure code","Parent Description","Measure Description",2016,2018,2019,2020,2021,2022,2023
"LAND","Land area","Land area (ha)",NA,NA,NA,NA,1629.2,NA,NA
"PROTECTED_AREA_3","Protected land areas - year ended 30 June","National parks (no.)",1,1,NA,1,NA,1,NA
"PROTECTED_AREA_6","Protected land areas - year ended 30 June","Total protected land areas (no.)",1,1,NA,1,NA,1,NA
"PROTECTED_AREA_8","Protected land areas - year ended 30 June","National parks (ha)",1277,1277,NA,1277,NA,1277,NA
"PROTECTED_AREA_11","Protected land areas - year ended 30 June","Total protected land area (ha)",1277,1277,NA,1277,NA,1277,NA
"PROTECTED_AREA_13","Protected land areas - year ended 30 June","National parks (%)",78.4,78.4,NA,78.4,NA,78.4,NA
"PROTECTED_AREA_16","Protected land areas - year ended 30 June","Total protected land area (%)",78.4,78.4,NA,78.4,NA,78.4,NA
"SOLAR_8","Solar installations - year ended 31 December","Solar water heater installations (no.)",NA,NA,NA,3,NA,NA,NA
